transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,DOB,Gender,city_code,prod_cat,prod_subcat,age_at_transaction
80712190438,270351,2014-02-28,1,1,-5,-772,405.3,-4265.3,e-Shop,1981-09-26,M,5.0,Clothing,Women,32
29258453508,270384,2014-02-27,5,3,-5,-1497,785.925,-8270.925,e-Shop,1973-05-11,F,8.0,Electronics,Computers,40
51750724947,273420,2014-02-24,6,5,-2,-791,166.11,-1748.11,TeleShop,1992-07-27,M,8.0,Books,DIY,21
93274880719,271509,2014-02-24,11,6,-3,-1363,429.345,-4518.345,e-Shop,1981-06-08,M,3.0,Home and kitchen,Bath,32
51750724947,273420,2014-02-23,6,5,-2,-791,166.11,-1748.11,TeleShop,1992-07-27,M,8.0,Books,DIY,21
97439039119,272357,2014-02-23,8,3,-2,-824,173.04,-1821.04,TeleShop,1982-10-09,F,6.0,Electronics,Personal Appliances,31
45649838090,273667,2014-02-22,11,6,-1,-1450,152.25,-1602.25,e-Shop,1981-05-29,M,9.0,Home and kitchen,Bath,32
22643667930,271489,2014-02-22,12,6,-1,-1225,128.625,-1353.625,TeleShop,1971-04-21,M,9.0,Home and kitchen,Tools,42
79792372943,275108,2014-02-22,3,1,-3,-908,286.02,-3010.02,MBR,1971-11-04,F,8.0,Clothing,Kids,42
50076728598,269014,2014-02-21,8,3,-4,-581,244.02,-2568.02,e-Shop,1979-11-27,F,3.0,Electronics,Personal Appliances,34
29258453508,270384,2014-02-20,5,3,5,1497,785.925,8270.925,e-Shop,1973-05-11,F,8.0,Electronics,Computers,40
25455265351,267750,2014-02-20,12,6,3,1360,428.4,4508.4,e-Shop,1986-10-13,M,1.0,Home and kitchen,Tools,27
1571002198,275023,2014-02-20,6,5,4,587,246.54,2594.54,e-Shop,1971-03-09,M,6.0,Books,DIY,42
43134751727,268487,2014-02-20,3,2,-1,-611,64.155,-675.155,e-Shop,1984-06-10,F,2.0,Footwear,Women,29
36554696014,269345,2014-02-20,3,5,3,1253,394.695,4153.695,e-Shop,1970-06-26,F,10.0,Books,Comics,43
56814940239,268799,2014-02-20,7,5,5,368,193.2,2033.2,e-Shop,1979-06-27,M,9.0,Books,Fiction,34
54295803788,270787,2014-02-20,12,5,5,584,306.6,3226.6,e-Shop,1973-09-10,F,6.0,Books,Academic,40
25963520987,274829,2014-02-20,4,4,3,502,158.13,1664.13,Flagship store,1984-09-05,F,2.0,Bags,Women,29
